_id,Yil,Ilce,Mahalle,Gelen Ariza,Cevaplanan Ariza
130,2022,BAYRAMPAŞA,ALTINTEPSİ MAH,395,395
131,2022,BAYRAMPAŞA,BAYRAMPAŞA-STANDARTDIŞI ADRES,1,1
132,2022,BAYRAMPAŞA,CEVATPAŞA MAH,192,192
133,2022,BAYRAMPAŞA,İSMET PAŞA MAH,219,219
134,2022,BAYRAMPAŞA,KARTALTEPE MAH,374,374
135,2022,BAYRAMPAŞA,KOCATEPE MAH,366,366
136,2022,BAYRAMPAŞA,MURATPAŞA MAH,333,333
137,2022,BAYRAMPAŞA,ORTA MAH,199,199
138,2022,BAYRAMPAŞA,TERAZİDERE MAH,356,356
139,2022,BAYRAMPAŞA,VATAN MAH,190,190
140,2022,BAYRAMPAŞA,YENİDOĞAN MAH,289,289
141,2022,BAYRAMPAŞA,YILDIRIM MAH,408,408
142,2022,B.ÇEKMECE,AHMEDİYE MAH.,17,17
143,2022,B.ÇEKMECE,ALKENT 2000 MAH.,84,84
144,2022,B.ÇEKMECE,ATATÜRK MAH,796,796
145,2022,B.ÇEKMECE,BAHÇELİEVLER MAH,235,235
146,2022,B.ÇEKMECE,BÜYÜKÇEKMECE-STANDARTDIŞI ADRES,1,1
147,2022,B.ÇEKMECE,CELALİYE MAH,423,423
148,2022,B.ÇEKMECE,CUMHURİYET MAH,427,427
149,2022,B.ÇEKMECE,ÇAKMAKLI MAH.,179,179
150,2022,B.ÇEKMECE,DİZDARİYE MAH,203,203
151,2022,B.ÇEKMECE,EKİNOBA MAH,152,152
152,2022,B.ÇEKMECE,FATİH MAH,796,796
153,2022,B.ÇEKMECE,GÜZELCE MAH,373,373
154,2022,B.ÇEKMECE,HÜRRİYET MAH.,589,589
155,2022,B.ÇEKMECE,KAMİLOBA MAH,418,418
156,2022,B.ÇEKMECE,KARAAĞAÇ MAH.,392,392
157,2022,B.ÇEKMECE,KUMBURGAZ MAH,367,367
158,2022,B.ÇEKMECE,MİMAROBA MAH,204,204
159,2022,B.ÇEKMECE,MİMARSİNAN MAH,313,313
160,2022,B.ÇEKMECE,MURAT ÇEŞME MAH.,342,342
161,2022,B.ÇEKMECE,PINARTEPE MAH.,544,544
162,2022,B.ÇEKMECE,SİNANOBA MAH,160,160
163,2022,B.ÇEKMECE,TÜRKOBA MAH.,332,332
164,2022,B.ÇEKMECE,ULUS MAH.,388,388
165,2022,B.ÇEKMECE,YENİMAHALLE,231,231
166,2022,B.ÇEKMECE,19 MAYIS MAH,243,243
167,2022,BEŞİKTAŞ,ABBASAĞA MAH,162,162
168,2022,BEŞİKTAŞ,AKAT MAH,349,349
169,2022,BEŞİKTAŞ,ARNAVUTKÖY MAH,165,165
170,2022,BEŞİKTAŞ,BALMUMCU MAH,150,150
171,2022,BEŞİKTAŞ,BEBEK MAH,221,221
172,2022,BEŞİKTAŞ,CİHANNÜMA MAH,157,157
173,2022,BEŞİKTAŞ,DİKİLİTAŞ MAH,357,357
174,2022,BEŞİKTAŞ,ETİLER MAH,207,207
175,2022,BEŞİKTAŞ,GAYRETTEPE MAH,133,133
176,2022,BEŞİKTAŞ,KONAKLAR MAH,163,163
177,2022,BEŞİKTAŞ,KURUÇEŞME MAH,142,142
178,2022,BEŞİKTAŞ,KÜLTÜR MAH,75,75
179,2022,BEŞİKTAŞ,LEVAZIM MAH,40,40
180,2022,BEŞİKTAŞ,LEVENT MAH,179,178
181,2022,BEŞİKTAŞ,MECİDİYE MAH,208,208
182,2022,BEŞİKTAŞ,MURADİYE MAH,76,76
183,2022,BEŞİKTAŞ,NİSBETİYE MAH,116,116
184,2022,BEŞİKTAŞ,ORTAKÖY MAH,218,218
185,2022,BEŞİKTAŞ,SİNANPAŞA MAH,81,81
186,2022,BEŞİKTAŞ,TÜRKALİ MAH,145,145
187,2022,BEŞİKTAŞ,ULUS MAH,87,87
188,2022,BEŞİKTAŞ,VİŞNEZADE MAH,118,118
189,2022,BEŞİKTAŞ,YILDIZ MAH,267,267
190,2022,BEYKOZ,ACARLAR MAH,65,65
191,2022,BEYKOZ,AKBABA MAH,150,150
192,2022,BEYKOZ,ALİBAHADIR MAH,53,53
193,2022,BEYKOZ,ANADOLU HİSARI MAH,131,131
194,2022,BEYKOZ,ANADOLU KAVAĞI MAH,57,57
195,2022,BEYKOZ,ANADOLUFENERİ MAH,56,56
196,2022,BEYKOZ,BAKLACI MAH.,167,167
197,2022,BEYKOZ,BOZHANE MAH,67,62
198,2022,BEYKOZ,CUMHURİYET MAH,126,126
199,2022,BEYKOZ,ÇAMLIBAHÇE MAH,345,345
200,2022,BEYKOZ,ÇAVUŞBAŞI-STANDARTDIŞI ADRES,10,10
201,2022,BEYKOZ,ÇENGELDERE MAH.,318,318
202,2022,BEYKOZ,ÇİFTLİK MAH.,229,229
203,2022,BEYKOZ,ÇİĞDEM MAH,271,271
204,2022,BEYKOZ,ÇUBUKLU MAH,680,679
205,2022,BEYKOZ,DERESEKİ MAH,131,131
206,2022,BEYKOZ,ELMALI MAH,102,102
207,2022,BEYKOZ,FATİH MAH.,102,102
208,2022,BEYKOZ,GÖKSU MAH,177,177
209,2022,BEYKOZ,GÖLLÜ MAH,29,29
210,2022,BEYKOZ,GÖRELE MAH,100,100
211,2022,BEYKOZ,GÖZTEPE MAH,301,300
212,2022,BEYKOZ,GÜMÜŞSUYU MAH,602,602
213,2022,BEYKOZ,İNCİRKÖY MAH,640,640
214,2022,BEYKOZ,İSHAKLI MAH,154,154
215,2022,BEYKOZ,KANLICA MAH,140,140
216,2022,BEYKOZ,KAVACIK MAH,373,372
217,2022,BEYKOZ,KAYNARCA MAH,39,39
218,2022,BEYKOZ,KILIÇLI MAH,20,20
219,2022,BEYKOZ,MAHMUTŞEVKETPAŞA MAH,87,87
220,2022,BEYKOZ,MERKEZ MAH,282,282
221,2022,BEYKOZ,ORTAÇEŞME MAH,403,403
222,2022,BEYKOZ,ÖĞÜMCE MAH,41,41
223,2022,BEYKOZ,ÖRNEKKÖY MAH,91,91
224,2022,BEYKOZ,PAŞABAHÇE MAH,108,107
225,2022,BEYKOZ,PAŞAMANDIRA MAH,76,76
226,2022,BEYKOZ,POLONEZKÖY MAH,19,19
227,2022,BEYKOZ,POYRAZKÖY MAH,106,106
228,2022,BEYKOZ,RİVA MAH,142,142
229,2022,BEYKOZ,RÜZGARLIBAHÇE MAH,414,414
230,2022,BEYKOZ,SOĞUKSU MAH,272,272
231,2022,BEYKOZ,TOKATKÖY MAH,920,920
232,2022,BEYKOZ,YALIKÖY MAH,246,243
233,2022,BEYKOZ,YAVUZ SELİM MAH.,155,155
234,2022,BEYKOZ,YENİ MAHALLE,706,706
235,2022,BEYKOZ,ZERZEVATÇI MAH,47,47
236,2022,BEYLİKDÜZÜ,ADNAN KAHVECİ MAH.,436,436
237,2022,BEYLİKDÜZÜ,BARIŞ MAH.,197,197
238,2022,BEYLİKDÜZÜ,BEYLİKDÜZÜ OSB,145,145
239,2022,BEYLİKDÜZÜ,BÜYÜKŞEHİR MAH.,141,141
240,2022,BEYLİKDÜZÜ,CUMHURİYET MAH.,91,91
241,2022,BEYLİKDÜZÜ,DEREAĞZI MAH.,688,688
242,2022,BEYLİKDÜZÜ,GÜRPINAR MAH.,716,716
243,2022,BEYLİKDÜZÜ,KAVAKLI MAH.,730,730
244,2022,BEYLİKDÜZÜ,MARMARA MAH.,162,162
245,2022,BEYLİKDÜZÜ,SAHİL MAH.,232,232
246,2022,BEYLİKDÜZÜ,YAKUPLU MAH.,1021,1021
247,2022,BEYOĞLU,ARAP CAMİ MAH,78,78
248,2022,BEYOĞLU,ASMALI MESCİT MAH,100,97
249,2022,BEYOĞLU,BEDRETTİN MAH,36,36
250,2022,BEYOĞLU,BEREKETZADE MAH,115,114
251,2022,BEYOĞLU,BOSTAN MAH,123,123
252,2022,BEYOĞLU,BÜLBÜL MAH,254,254
253,2022,BEYOĞLU,CAMİİKEBİR MAH,141,141
254,2022,BEYOĞLU,CİHANGİR MAH,146,145
255,2022,BEYOĞLU,ÇATMA MESCİT MAH,96,95
256,2022,BEYOĞLU,ÇUKUR MAH,136,136
257,2022,BEYOĞLU,EMEKYEMEZ MAH,85,85
258,2022,BEYOĞLU,EVLİYA ÇELEBİ MAH,59,59
259,2022,BEYOĞLU,FETİHTEPE MAH,601,601
260,2022,BEYOĞLU,FİRUZAĞA MAH,140,134
261,2022,BEYOĞLU,GÜMÜŞSUYU MAH,82,79
262,2022,BEYOĞLU,HACIAHMET MAH,559,559
263,2022,BEYOĞLU,HACIMİMİ MAH,124,122
264,2022,BEYOĞLU,HALICIOĞLU MAH,232,232
265,2022,BEYOĞLU,HÜSEYİNAĞA MAH,78,78
