ILCE,MAHALLE,NUFUS_2022,NUFUS_2023
EYÜPSULTAN,ODAYERİ,2100,2160
EYÜPSULTAN,PİRİNÇÇİ,3479,3505
EYÜPSULTAN,RAMİ CUMA,14874,1467
EYÜPSULTAN,RAMİ YENİ,14994,15088
EYÜPSULTAN,SAKARYA,8793,9842
EYÜPSULTAN,SİLAHTARAĞA,10205,1012
EYÜPSULTAN,TOPÇULAR,10486,10248
EYÜPSULTAN,YEŞİLPINAR,38598,37952
EYÜPSULTAN,ÇIRÇIR,26081,26389
EYÜPSULTAN,ÇİFTALAN,1860,1850
EYÜPSULTAN,İHSANİYE,1590,1860
EYÜPSULTAN,İSLAMBEY,15361,14845
FATİH,AKSARAY,9278,8464
FATİH,AKŞEMSETTİN,19315,18622
FATİH,ALEMDAR,21,23
FATİH,ALİ KUŞÇU,9842,9482
FATİH,ATİKALİ,13632,13319
FATİH,AYVANSARAY,16223,15452
FATİH,BALABANAĞA,242,250
FATİH,BALAT,10834,10817
FATİH,BEYAZIT,23,16
FATİH,BİNBİRDİREK,1359,1414
FATİH,CANKURTARAN,215,200
FATİH,CERRAHPAŞA,5690,5619
FATİH,CİBALİ,7383,7199
FATİH,DEMİRTAŞ,1880,2740
FATİH,DERVİŞ ALİ,17187,1681
FATİH,EMİN SİNAN,8690,8700
FATİH,HACI KADIN,549,512
FATİH,HASEKİ SULTAN,8937,8653
FATİH,HIRKA-İ ŞERİF,2119,20523
FATİH,HOBYAR,60,65
FATİH,HOCA GIYASETTİN,4950,4530
FATİH,HOCAPAŞA,127,111
FATİH,KALENDERHANE,147,133
FATİH,KARAGÜMRÜK,11096,10850
FATİH,KATİP KASIM,1469,1354
FATİH,KEMALPAŞA,235,216
FATİH,KOCA MUSTAFAPAŞA,19091,18589
FATİH,KÜÇÜK AYASOFYA,1452,1400
FATİH,MERCAN,44,57
FATİH,MESİHPAŞA,1030,960
FATİH,MEVLANAKAPI,16960,16584
FATİH,MOLLA FENARİ,990,1020
FATİH,MOLLA GÜRANİ,12211,11713
FATİH,MOLLA HÜSREV,306,279
FATİH,MUHSİNE HATUN,1588,1403
FATİH,MİMAR HAYRETTİN,5500,4880
FATİH,MİMAR KEMALETTİN,1910,1730
FATİH,NİŞANCA,459,4081
FATİH,RÜSTEMPAŞA,42,25
FATİH,SARAÇ İSHAK,486,448
FATİH,SEYYİD ÖMER,24445,23727
FATİH,SULTAN AHMET,780,729
FATİH,SURURİ,210,380
FATİH,SÜLEYMANİYE,7020,6550
FATİH,SÜMBÜL EFENDİ,15846,15522
FATİH,SİLİVRİKAPI,1554,1508
FATİH,TAHTAKALE,19,19
FATİH,TAYA HATUN,112,98
FATİH,TOPKAPI,10609,10186
FATİH,YAVUZ SULTAN SELİM,16635,16138
FATİH,YAVUZ SİNAN,2500,2530
FATİH,YEDİKULE,15789,15521
FATİH,ZEYREK,10427,9789
FATİH,İSKENDERPAŞA,11578,10768
FATİH,ŞEHREMİNİ,19749,19271
FATİH,ŞEHSUVAR BEY,1582,1450
GAZİOSMANPAŞA,BARBAROS HAYRETTİN PAŞA,49879,48164
GAZİOSMANPAŞA,BAĞLARBAŞI,28263,28396
GAZİOSMANPAŞA,FEVZİ ÇAKMAK,2369,23155
GAZİOSMANPAŞA,HÜRRİYET,27947,27123
GAZİOSMANPAŞA,KARADENİZ,73245,71362
GAZİOSMANPAŞA,KARAYOLLARI,40503,39247
GAZİOSMANPAŞA,KARLITEPE,19407,19129
GAZİOSMANPAŞA,KAZIM KARABEKİR,44706,43578
GAZİOSMANPAŞA,MERKEZ,30922,3013
GAZİOSMANPAŞA,MEVLANA,26500,27100
GAZİOSMANPAŞA,PAZARİÇİ,12779,12194
GAZİOSMANPAŞA,SARIGÖL,25592,25175
GAZİOSMANPAŞA,YENİ MAHALLE,36845,35925
GAZİOSMANPAŞA,YENİDOĞAN,8088,7659
GAZİOSMANPAŞA,YILDIZTABYA,25216,24501
GAZİOSMANPAŞA,ŞEMSİPAŞA,25066,24712
GÜNGÖREN,ABDURRAHMAN NAFİZ GÜRMAN,22031,20854
GÜNGÖREN,AKINCILAR,26500,25800
GÜNGÖREN,GENÇOSMAN,38500,37400
GÜNGÖREN,GÜNEŞTEPE,24800,24100
GÜNGÖREN,GÜVEN,16218,15659
GÜNGÖREN,HAZNEDAR,22400,21800
GÜNGÖREN,MAREŞAL ÇAKMAK,32100,31500
GÜNGÖREN,MEHMET NESİH ÖZMEN,9076,8526
GÜNGÖREN,MERKEZ,44366,42649
GÜNGÖREN,SANAYİ,12585,12116
GÜNGÖREN,TOZKOPARAN,16741,13563
KADIKÖY,19 MAYIS,32752,32164
KADIKÖY,ACIBADEM,29563,28801
KADIKÖY,BOSTANCI,34500,33200
KADIKÖY,CADDEBOSTAN,21058,2017
KADIKÖY,CAFERAĞA,22347,21421
KADIKÖY,DUMLUPINAR,10185,10081
KADIKÖY,ERENKÖY,35200,34400
KADIKÖY,EĞİTİM,14204,13559
KADIKÖY,FENERBAHÇE,21405,20872
KADIKÖY,FENERYOLU,26542,25626
KADIKÖY,FİKİRTEPE,1239,12235
KADIKÖY,GÖZTEPE,41200,40500
KADIKÖY,HASANPAŞA,16564,1631
KADIKÖY,KOZYATAĞI,38500,37600
KADIKÖY,KOŞUYOLU,6912,6739
KADIKÖY,MERDİVENKÖY,32395,31214
KADIKÖY,OSMANAĞA,8652,7728
KADIKÖY,RASİMPAŞA,13369,12341
KADIKÖY,SAHRAYICEDİT,31423,30259
KADIKÖY,SUADİYE,2712,26428
KADIKÖY,ZÜHTÜPAŞA,8414,8155
KARTAL,ATALAR,30500,29800
KARTAL,CEVİZLİ,26485,25917
KARTAL,CUMHURİYET,23539,23223
KARTAL,ESENTEPE,30476,29922
KARTAL,GÜMÜŞPINAR,2665,265
KARTAL,HÜRRİYET,50833,50227
KARTAL,KARLIKTEPE,34324,33536
KARTAL,KORDONBOYU,13439,13145
KARTAL,ORHANTEPE,26500,26100
KARTAL,ORTA,1866,18173
KARTAL,PETROL İŞ,28400,27900
KARTAL,SOĞANLIK YENİ,29024,2874
KARTAL,TOPSELVİ,1289,12632
KARTAL,UĞUR MUMCU,42100,41500
KARTAL,YAKACIK YENİ,1906,19176
KARTAL,YAKACIK ÇARŞI,17825,18073
KARTAL,YALI,12945,1247
KARTAL,YUKARI,7626,7342
KARTAL,YUNUS,15496,15093
KARTAL,ÇAVUŞOĞLU,15125,14918
