ILCE,MAHALLE,NUFUS_2022,NUFUS_2023
KÜÇÜKÇEKMECE,YENİ MAHALLE,20892,20389
KÜÇÜKÇEKMECE,YEŞİLOVA,33367,32673
KÜÇÜKÇEKMECE,İNÖNÜ,72100,70500
KÜÇÜKÇEKMECE,İSTASYON,41647,42508
MALTEPE,ALTAYÇEŞME,32664,32285
MALTEPE,ALTINTEPE,28500,27900
MALTEPE,AYDINEVLER,20761,21292
MALTEPE,BAĞLARBAŞI,34200,33500
MALTEPE,BAŞIBÜYÜK,21951,25616
MALTEPE,BÜYÜKBAKKALKÖY,11285,10219
MALTEPE,CEVİZLİ,40606,40485
MALTEPE,ESENKENT,18977,18248
MALTEPE,FEYZULLAH,20397,20169
MALTEPE,FINDIKLI,48200,47600
MALTEPE,GÜLENSU,14403,13957
MALTEPE,GÜLSUYU,15097,1475
MALTEPE,GİRNE,19196,19318
MALTEPE,KÜÇÜKYALI MERKEZ,26086,25473
MALTEPE,YALI,131,1274
MALTEPE,ZÜMRÜTEVLER,85400,84100
MALTEPE,ÇINAR,20722,20358
MALTEPE,İDEALTEPE,2497,24509
PENDİK,AHMET YESEVİ,30563,30302
PENDİK,BAHÇELİEVLER,12754,12582
PENDİK,BALLICA,5530,6190
PENDİK,BATI,13635,1336
PENDİK,DOĞU,16099,15284
PENDİK,DUMLUPINAR,27048,268
PENDİK,EMİRLİ,2390,2450
PENDİK,ERTUĞRUL GAZİ,12912,12731
PENDİK,ESENLER,34059,33365
PENDİK,ESENYALI,14283,14052
PENDİK,FATİH,21678,21096
PENDİK,FEVZİ ÇAKMAK,38423,37995
PENDİK,GÖÇBEYLİ,1389,1446
PENDİK,GÜLLÜ BAĞLAR,18308,18633
PENDİK,GÜZELYALI,34241,33881
PENDİK,HARMANDERE,9249,9579
PENDİK,KAVAKPINAR,65400,64800
PENDİK,KAYNARCA,58200,57500
PENDİK,KURNA,1167,1151
PENDİK,KURTDOĞMUŞ,4300,6770
PENDİK,KURTKÖY,37801,37886
PENDİK,ORHANGAZİ,28684,28121
PENDİK,ORTA,3753,3414
PENDİK,RAMAZANOĞLU,2589,247
PENDİK,SANAYİ,3117,3003
PENDİK,SAPAN BAĞLARI,12298,12271
PENDİK,SÜLÜNTEPE,25523,25426
PENDİK,VELİBABA,4206,41421
PENDİK,YAYALAR,13376,13275
PENDİK,YENİ,16198,16138
PENDİK,YENİŞEHİR,65929,65548
PENDİK,YEŞİLBAĞLAR,6631,6794
PENDİK,ÇAMLIK,20044,20387
PENDİK,ÇAMÇEŞME,32377,31931
PENDİK,ÇINARDERE,20241,20591
PENDİK,ŞEYHLİ,19283,19298
SANCAKTEPE,ABDURRAHMANGAZİ,45488,46347
SANCAKTEPE,AKPINAR,24014,24321
SANCAKTEPE,ATATÜRK,31775,31758
SANCAKTEPE,EMEK,22100,21800
SANCAKTEPE,EYÜP SULTAN,23283,23604
SANCAKTEPE,FATİH,3715,37572
SANCAKTEPE,HİLAL,5836,5906
SANCAKTEPE,KEMAL TÜRKLER,22131,22357
SANCAKTEPE,MECLİS,27314,27287
SANCAKTEPE,MERVE,20945,21172
SANCAKTEPE,MEVLANA,21179,21658
SANCAKTEPE,OSMANGAZİ,50733,512
SANCAKTEPE,PAŞAKÖY,1693,1761
SANCAKTEPE,SAFA,24248,24441
SANCAKTEPE,SARIGAZİ,23759,23592
SANCAKTEPE,VEYSEL KARANİ,26271,2611
SANCAKTEPE,YENİDOĞAN,24599,24576
SANCAKTEPE,YUNUS EMRE,27641,27833
SANCAKTEPE,İNÖNÜ,24517,24202
SARIYER,AYAZAĞA,36500,37100
SARIYER,BAHÇEKÖY KEMER,2352,2244
SARIYER,BAHÇEKÖY MERKEZ,3737,3596
SARIYER,BAHÇEKÖY YENİ,503,4971
SARIYER,BALTALİMANI,5151,5051
SARIYER,BÜYÜKDERE,8586,8366
SARIYER,CUMHURİYET,11027,1075
SARIYER,DARÜŞŞAFAKA,8725,8555
SARIYER,DEMİRCİKÖY,1666,1683
SARIYER,EMİRGAN,829,8111
SARIYER,FATİH SULTAN MEHMET,15725,15708
SARIYER,FERAHEVLER,15591,15233
SARIYER,GARİPÇE,3910,3800
SARIYER,GÜMÜŞDERE,368,2673
SARIYER,HUZUR,8408,8204
SARIYER,KAZIM KARABEKİR PAŞA,7943,7877
SARIYER,KISIRKAYA,3530,3670
SARIYER,KOCATAŞ,4473,4479
SARIYER,KUMKÖY (KİLYOS),386,3973
SARIYER,KİREÇBURNU,6888,6598
SARIYER,MADEN,15400,15100
SARIYER,MASLAK,1226,12069
SARIYER,PINAR,1118,10864
SARIYER,POLİGON,6494,6317
SARIYER,PTT EVLERİ,5228,5192
SARIYER,REŞİTPAŞA,1751,17668
SARIYER,RUMELİFENERİ,4337,4516
SARIYER,RUMELİHİSARI,10073,9644
SARIYER,RUMELİKAVAĞI,3657,3659
SARIYER,SARIYER MERKEZ,11935,11734
SARIYER,TARABYA,18200,17800
SARIYER,USKUMRUKÖY,9864,992
SARIYER,YENİ,3262,3284
SARIYER,YENİKÖY,14963,14712
SARIYER,ZEKERİYAKÖY,22558,22527
SARIYER,ÇAMLITEPE,5796,5725
SARIYER,ÇAYIRBAŞI,4935,4815
SARIYER,İSTİNYE,15721,15584
SULTANBEYLİ,ABDURRAHMANGAZİ,28383,27696
SULTANBEYLİ,ADİL,32615,33963
SULTANBEYLİ,AHMET YESEVİ,29952,29766
SULTANBEYLİ,AKŞEMSETTİN,13523,13561
SULTANBEYLİ,BATTALGAZİ,37999,38294
SULTANBEYLİ,FATİH,20861,2091
SULTANBEYLİ,HAMİDİYE,26595,26402
SULTANBEYLİ,HASANPAŞA,28400,27900
SULTANBEYLİ,MECİDİYE,22055,21799
SULTANBEYLİ,MEHMET AKİF,27066,2743
SULTANBEYLİ,MİMAR SİNAN,24513,25088
SULTANBEYLİ,NECİP FAZIL,21388,2212
SULTANBEYLİ,ORHANGAZİ,16139,16439
SULTANBEYLİ,TURGUT REİS,19657,19791
SULTANBEYLİ,YAVUZ SELİM,20056,20172
SULTANGAZİ,50. YIL,72500,70800
SULTANGAZİ,75. YIL,32234,31741
SULTANGAZİ,CEBECİ,61466,59846
SULTANGAZİ,CUMHURİYET,14075,1394
SULTANGAZİ,ESENTEPE,62100,61200
SULTANGAZİ,ESKİ HABİPLER,1313,13292
SULTANGAZİ,GAZİ,35204,34742
SULTANGAZİ,HABİBLER,7686,789
SULTANGAZİ,MALKOÇOĞLU,13492,13197
SULTANGAZİ,SULTANÇİFTLİĞİ,38091,37503
SULTANGAZİ,UĞUR MUMCU,45800,45100
SULTANGAZİ,YAYLA,8132,7922
SULTANGAZİ,YUNUS EMRE,53338,52156
SULTANGAZİ,ZÜBEYDE HANIM,32264,3158
SULTANGAZİ,İSMETPAŞA,54200,53500
SİLİVRİ,AKÖREN,1373,1463
SİLİVRİ,ALİBEY,18072,17666
SİLİVRİ,ALİPAŞA,10,102
SİLİVRİ,BEKİRLİ,2070,2270
SİLİVRİ,BEYCİLER,1399,1386
SİLİVRİ,BÜYÜK KILIÇLI,1237,1259
SİLİVRİ,BÜYÜK SİNEKLİ,4050,4410
SİLİVRİ,BÜYÜK ÇAVUŞLU,3238,3235
SİLİVRİ,CUMHURİYET,8897,9285
SİLİVRİ,DANAMANDIRA,1086,1118
SİLİVRİ,DEĞİRMENKÖY FEVZİPAŞA,3374,3506
SİLİVRİ,DEĞİRMENKÖY İSMETPAŞA,3318,3325
SİLİVRİ,FATİH,6812,6796
SİLİVRİ,FENER,1509,1505
SİLİVRİ,GAZİTEPE,1298,1258
SİLİVRİ,GÜMÜŞYAKA,8500,8900
SİLİVRİ,KADIKÖY,1454,145
SİLİVRİ,KAVAKLI HÜRRİYET,1761,1765
SİLİVRİ,KAVAKLI İSTİKLAL,2038,1995
SİLİVRİ,KURFALLI,4920,5520
SİLİVRİ,KÜÇÜK KILIÇLI,3210,3220
SİLİVRİ,KÜÇÜK SİNEKLİ,1450,1450
SİLİVRİ,MİMAR SİNAN,24466,27684
SİLİVRİ,ORTAKÖY,4131,4224
SİLİVRİ,PİRİ MEHMET PAŞA,8221,8068
SİLİVRİ,SAYALAR,9000,9250
SİLİVRİ,SELİMPAŞA,23378,23963
SİLİVRİ,SEMİZKUMLAR,29821,27901
SİLİVRİ,SEYMEN,1038,1045
SİLİVRİ,YENİ MAHALLE,43469,45189
SİLİVRİ,YOLÇATI,3980,4020
SİLİVRİ,ÇANTA BALABAN,4168,4366
SİLİVRİ,ÇANTA SANCAKTEPE,6033,6217
SİLİVRİ,ÇAYIRDERE,1417,1417
SİLİVRİ,ÇELTİK,1049,1048
TUZLA,AKFIRAT,2685,2753
TUZLA,ANADOLU,8400,8390
TUZLA,AYDINLI,65200,66500
TUZLA,AYDINTEPE,27075,26917
TUZLA,CAMİ,5713,5805
TUZLA,EVLİYA ÇELEBİ,13707,14026
TUZLA,FATİH,1088,1148
TUZLA,MESCİT,514,5225
TUZLA,MİMAR SİNAN,27398,27919
TUZLA,ORHANLI,1922,1933
TUZLA,ORTA,9923,11263
TUZLA,POSTANE,21143,21144
TUZLA,TEPEÖREN,6646,7098
TUZLA,YAYLA,24500,24800
TUZLA,İSTASYON,21800,22100
TUZLA,İÇMELER,11013,10958
TUZLA,ŞİFA,31998,31879
ZEYTİNBURNU,BEŞTELSİZ,21094,2059
ZEYTİNBURNU,GÖKALP,19511,18641
ZEYTİNBURNU,KAZLIÇEŞME,4844,4779
ZEYTİNBURNU,MALTEPE,9601,1003
ZEYTİNBURNU,MERKEZEFENDİ,25743,24333
ZEYTİNBURNU,NURİPAŞA,28362,26814
ZEYTİNBURNU,SEYİTNİZAM,23879,22096
ZEYTİNBURNU,SÜMER,42500,41200
ZEYTİNBURNU,TELSIZ,36200,35100
ZEYTİNBURNU,VELIEFENDI,38400,37100
ZEYTİNBURNU,YEŞILTEPE,24500,23600
ZEYTİNBURNU,ÇIRPICI,27172,26082
ÇATALCA,AKALAN,782,846
ÇATALCA,ATATÜRK,1210,1391
ÇATALCA,AYDINLAR,728,809
ÇATALCA,BAHŞAYİŞ,3730,4290
ÇATALCA,BAŞAK,3770,4240
ÇATALCA,BELGRAT,504,594
ÇATALCA,CELEPKÖY,181,204
ÇATALCA,DAĞYENİCE,7340,8010
ÇATALCA,ELBASAN,588,673
ÇATALCA,FATİH,128,1431
ÇATALCA,FERHATPAŞA,24391,22802
ÇATALCA,GÖKÇEALİ,1982,207
ÇATALCA,GÜMÜŞPINAR,1046,1111
ÇATALCA,HALLAÇLI,1083,1121
ÇATALCA,HİSARBEYLİ,3550,3630
ÇATALCA,KABAKÇA,1599,1656
ÇATALCA,KALEİÇİ,7616,7495
ÇATALCA,KALFA,147,172
ÇATALCA,KARACAKÖY MERKEZ,2276,2235
ÇATALCA,KARAMANDERE,587,620
ÇATALCA,KESTANELİK,2418,2446
ÇATALCA,KIZILCAALİ,2030,2060
ÇATALCA,MURATBEY MERKEZ,1756,1673
ÇATALCA,NAKKAŞ,953,1002
ÇATALCA,OKLALI,1358,1406
ÇATALCA,ORMANLI,1251,1341
ÇATALCA,OVAYENİCE,1125,1196
ÇATALCA,SUBAŞI,1982,2045
ÇATALCA,YALIKÖY,1618,1686
ÇATALCA,YAYLACIK,382,419
ÇATALCA,YAZLIK,509,569
ÇATALCA,ÇAKIL,2603,2640
ÇATALCA,ÇANAKÇA,1989,2011
ÇATALCA,ÇİFTLİKKÖY,1834,1932
ÇATALCA,ÖRCÜNLÜ,443,462
ÇATALCA,ÖRENCİK,9070,1034
ÇATALCA,İHSANİYE,1728,1826
ÇATALCA,İNCEĞİZ,8630,1107
ÇATALCA,İZZETTİN,12,1333
ÇEKMEKÖY,ALEMDAĞ,27888,27992
ÇEKMEKÖY,AYDINLAR,6423,6369
ÇEKMEKÖY,CUMHURİYET,17147,17209
ÇEKMEKÖY,EKŞİOĞLU,9076,9396
ÇEKMEKÖY,GÜNGÖREN,10724,10580
ÇEKMEKÖY,HAMİDİYE,30048,29629
ÇEKMEKÖY,HÜSEYİNLİ,8840,8920
ÇEKMEKÖY,KOÇULLU,1493,1591
ÇEKMEKÖY,KİRAZLIDERE,10238,10522
ÇEKMEKÖY,MEHMET AKİF,32658,32116
ÇEKMEKÖY,MERKEZ,15221,15861
ÇEKMEKÖY,MİMAR SİNAN,2655,26319
ÇEKMEKÖY,NİŞANTEPE,11958,12476
ÇEKMEKÖY,REŞADİYE,2508,2783
ÇEKMEKÖY,SIRAPINAR,1446,1514
ÇEKMEKÖY,SOĞUKPINAR,9414,9512
ÇEKMEKÖY,SULTANÇİFTLİĞİ,1877,19646
ÇEKMEKÖY,TAŞDELEN,4469,4637
ÇEKMEKÖY,ÇAMLIK,22083,22028
ÇEKMEKÖY,ÇATALMEŞE,9077,9219
ÇEKMEKÖY,ÖMERLİ,5313,5614
ÜMRANİYE,ADEM YAVUZ,17028,16766
ÜMRANİYE,ALTINŞEHİR,28984,28363
ÜMRANİYE,ARMAĞANEVLER,42500,41800
ÜMRANİYE,ATAKENT,20318,19933
ÜMRANİYE,ATATÜRK,24751,24104
ÜMRANİYE,AŞAĞI DUDULLU,14656,1504
ÜMRANİYE,CEMİL MERİÇ,22374,21718
ÜMRANİYE,DUMLUPINAR,12263,12024
ÜMRANİYE,ELMALIKENT,22155,21956
ÜMRANİYE,ESENEVLER,26532,26149
ÜMRANİYE,ESENKENT,21413,21439
ÜMRANİYE,ESENŞEHİR,20907,20732
ÜMRANİYE,FATİH SULTAN MEHMET,4717,4658
ÜMRANİYE,FİNANSKENT,1488,8113
ÜMRANİYE,HEKİMBAŞI,7623,7355
ÜMRANİYE,HUZUR,12207,1207
ÜMRANİYE,IHLAMURKUYU,16086,15903
ÜMRANİYE,KAZIM KARABEKİR,16322,1583
ÜMRANİYE,MADENLER,1585,15597
ÜMRANİYE,MEHMET AKİF,26393,2615
ÜMRANİYE,NAMIK KEMAL,28500,27900
ÜMRANİYE,NECİP FAZIL,28675,28327
ÜMRANİYE,PARSELLER,16029,15821
ÜMRANİYE,SİTE,21868,21465
ÜMRANİYE,TANTAVİ,11757,11784
ÜMRANİYE,TATLISU,22779,22972
ÜMRANİYE,TEPEÜSTÜ,137,13449
ÜMRANİYE,TOPAĞACI,14167,13826
ÜMRANİYE,YAMANEVLER,16072,17889
ÜMRANİYE,YUKARI DUDULLU,21761,21532
ÜMRANİYE,ÇAKMAK,38400,37900
ÜMRANİYE,ÇAMLIK,24393,24097
ÜMRANİYE,İNKILAP,31608,34935
ÜMRANİYE,İSTİKLAL,49416,48047
ÜMRANİYE,ŞERİFALİ,9531,9502
ÜSKÜDAR,ACIBADEM,24800,24200
ÜSKÜDAR,AHMEDİYE,8983,8638
ÜSKÜDAR,ALTUNİZADE,13459,12397
ÜSKÜDAR,AZİZ MAHMUT HÜDAYİ,8664,8608
ÜSKÜDAR,BAHÇELİEVLER,22816,22909
ÜSKÜDAR,BARBAROS,17746,16999
ÜSKÜDAR,BEYLERBEYİ,5168,5165
ÜSKÜDAR,BULGURLU,26500,26100
ÜSKÜDAR,BURHANİYE,16438,16304
ÜSKÜDAR,CUMHURİYET,37836,37696
ÜSKÜDAR,FERAH,215,21426
ÜSKÜDAR,GÜZELTEPE,13252,1324
ÜSKÜDAR,KANDİLLİ,1396,141
ÜSKÜDAR,KISIKLI,20403,20253
ÜSKÜDAR,KULELİ,3849,4142
ÜSKÜDAR,KUZGUNCUK,4151,3981
ÜSKÜDAR,KÜPLÜCE,1723,16852
ÜSKÜDAR,KÜÇÜK ÇAMLICA,10791,1098
ÜSKÜDAR,KÜÇÜKSU,19075,18514
ÜSKÜDAR,KİRAZLITEPE,906,9355
ÜSKÜDAR,MEHMET AKİF ERSOY,19762,1955
ÜSKÜDAR,MURATREİS,13651,13607
ÜSKÜDAR,MİMAR SİNAN,11691,11478
ÜSKÜDAR,SALACAK,9522,935
ÜSKÜDAR,SELAMİ ALİ,13274,13011
ÜSKÜDAR,SELİMİYE,8499,8023
ÜSKÜDAR,SULTANTEPE,10874,10573
ÜSKÜDAR,VALİDE-İ ATİK,20686,20278
ÜSKÜDAR,YAVUZTÜRK,32100,31500
ÜSKÜDAR,ZEYNEP KAMİL,12106,11877
ÜSKÜDAR,ÇENGELKÖY,13801,13623
ÜSKÜDAR,ÜNALAN,34500,33800
ÜSKÜDAR,İCADİYE,15962,15762
ŞİLE,AHMETLİ,2875,2984
ŞİLE,AKÇAKESE,4980,5240
ŞİLE,ALACALI,6190,6820
ŞİLE,AVCIKORU,1120,1540
ŞİLE,AĞAÇDERE,1090,1240
ŞİLE,AĞVA MERKEZ,2600,2800
ŞİLE,BALİBEY,368,395
ŞİLE,BIÇKIDERE,3120,4320
ŞİLE,BOZGOCA,1140,1210
ŞİLE,BUCAKLI,3580,3790
ŞİLE,DARLIK,1810,1970
ŞİLE,DEĞİRMENÇAYIRI,5320,6380
ŞİLE,DOĞANCILI,8480,8740
ŞİLE,ERENLER,1440,1450
ŞİLE,ESENCELİ,690,1110
ŞİLE,GEREDELİ,6450,7440
ŞİLE,GÖKMAŞLI,1980,2350
ŞİLE,GÖKSU,2910,3030
ŞİLE,GÖÇE,7770,8430
ŞİLE,HACI KASIM,103,102
ŞİLE,HACILLI,2530,2730
ŞİLE,HASANLI,2580,2910
ŞİLE,KABAKOZ,6570,7550
ŞİLE,KADIKÖY,1930,3740
ŞİLE,KALEM,3150,3500
ŞİLE,KARABEYLİ,2230,2500
ŞİLE,KARACAKÖY,2900,3360
ŞİLE,KARAKİRAZ,2740,3210
ŞİLE,KARAMANDERE,3280,3720
ŞİLE,KERVANSARAY,3440,5290
ŞİLE,KIZILCA,5970,6620
ŞİLE,KORUCU,2300,2470
ŞİLE,KUMBABA,3800,4100
ŞİLE,KURFALLI,2980,3360
ŞİLE,KURNA,2270,2730
ŞİLE,KÖMÜRLÜK,2320,2520
ŞİLE,MEŞRUTİYET,2109,242
ŞİLE,ORUÇOĞLU,3970,5240
ŞİLE,OSMANKÖY,2780,3020
ŞİLE,OVACIK,1750,1820
ŞİLE,SAHİLKÖY,9610,1098
ŞİLE,SATMAZLI,4540,5460
ŞİLE,SOFULAR,3020,3550
ŞİLE,SORTULLU,1250,1730
ŞİLE,SOĞULLU,2050,2010
ŞİLE,TEKE,4980,5090
ŞİLE,ULUPELİT,2360,2240
ŞİLE,YAKA,2760,4520
ŞİLE,YAYLALI,670,830
ŞİLE,YAZIMANAYIR,2040,2100
ŞİLE,YENİKÖY,4490,4750
ŞİLE,YEŞİLVADİ,2080,4010
ŞİLE,ÇATAKLI,2430,2510
ŞİLE,ÇAVUŞ,10500,11200
ŞİLE,ÇAYIRBAŞI,1132,1309
ŞİLE,ÇELEBİ,1730,3370
ŞİLE,ÇENGİLLİ,2080,2160
ŞİLE,ÜVEZLİ,4610,5930
ŞİLE,İMRENDERE,3680,4290
ŞİLE,İMRENLİ,3280,4280
ŞİLE,İSAKÖY,1600,3530
ŞİLE,ŞUAYİPLİ,2680,3080
ŞİŞLİ,19 MAYIS,11607,10886
ŞİŞLİ,BOZKURT,10292,9914
ŞİŞLİ,CUMHURİYET,8097,7576
ŞİŞLİ,DUATEPE,7731,7615
ŞİŞLİ,ERGENEKON,2407,2254
ŞİŞLİ,ESENTEPE,7332,7006
ŞİŞLİ,ESKİŞEHİR,12092,11534
ŞİŞLİ,FERİKÖY,14081,13589
ŞİŞLİ,FULYA,17422,16666
ŞİŞLİ,GÜLBAHAR,24500,23800
ŞİŞLİ,HALASKARGAZİ,1647,1672
ŞİŞLİ,HALİDE EDİP ADIVAR,17077,16596
ŞİŞLİ,HALİL RIFAT PAŞA,6592,6651
ŞİŞLİ,HARBİYE,2157,2217
ŞİŞLİ,KAPTANPAŞA,3275,3208
ŞİŞLİ,KUŞTEPE,16456,15567
ŞİŞLİ,MAHMUT ŞEVKET PAŞA,18677,18044
ŞİŞLİ,MECİDİYEKÖY,20006,18893
ŞİŞLİ,MERKEZ,13452,1289
ŞİŞLİ,MEŞRUTİYET,7552,7103
ŞİŞLİ,PAŞA,19569,18955
ŞİŞLİ,TEŞVİKİYE,11274,10735
ŞİŞLİ,YAYLA,11657,11398
ŞİŞLİ,İNÖNÜ,3608,308
ŞİŞLİ,İZZET PAŞA,7786,7563
