_id,YIL,ILCE,MAHALLE_ADI,GELEN ARIZA,GIDERILEN ARIZA
128,2023,BAYRAMPAŞA,VATAN MAH,49,49
129,2023,BAYRAMPAŞA,YENİDOĞAN MAH,460,460
130,2023,BAYRAMPAŞA,YILDIRIM MAH,709,709
131,2023,BAYRAMPAŞA,İSMET PAŞA MAH,172,172
132,2023,BAĞCILAR,100.YIL MAH,207,207
133,2023,BAĞCILAR,15 TEMMUZ MAH,126,126
134,2023,BAĞCILAR,BARBAROS MAH,48,48
135,2023,BAĞCILAR,BAĞLAR MAH,79,79
136,2023,BAĞCILAR,DEMİRKAPI MAH,278,278
137,2023,BAĞCILAR,FATİH MAH,112,112
138,2023,BAĞCILAR,FEVZİ ÇAKMAK MAH,152,152
139,2023,BAĞCILAR,GÖZTEPE MAH,272,272
140,2023,BAĞCILAR,GÜNEŞLİ MAH,170,170
141,2023,BAĞCILAR,HÜRRİYET MAH,83,83
142,2023,BAĞCILAR,KAZIM KARABEKİR MAH,57,57
143,2023,BAĞCILAR,KEMALPAŞA MAH,65,65
144,2023,BAĞCILAR,KİRAZLI MAH,333,333
145,2023,BAĞCILAR,MAHMUTBEY MAH,221,221
146,2023,BAĞCILAR,MERKEZ MAH,136,136
147,2023,BAĞCILAR,SANCAKTEPE MAH,313,313
148,2023,BAĞCILAR,YAVUZSELİM MAH,142,142
149,2023,BAĞCILAR,YENİGÜN MAH,81,81
150,2023,BAĞCILAR,YENİMAHALLE,219,219
151,2023,BAĞCILAR,YILDIZTEPE MAH,145,145
152,2023,BAĞCILAR,ÇINAR MAH,954,954
153,2023,BAĞCILAR,İNÖNU MAH,31,31
154,2023,BAŞAKŞEHİR,ALTINŞEHİR MAH,328,328
155,2023,BAŞAKŞEHİR,BAHÇEŞEHİR 1.KISIM MAH.,252,252
156,2023,BAŞAKŞEHİR,BAHÇEŞEHİR 2.KISIM MAH.,272,272
157,2023,BAŞAKŞEHİR,BAŞAK MAH,82,82
158,2023,BAŞAKŞEHİR,BAŞAKŞEHİR MAH,192,192
159,2023,BAŞAKŞEHİR,GÜVERCİNTEPE MAH,755,755
160,2023,BAŞAKŞEHİR,KAYABAŞI MAH,246,246
