_id,Yil,Ilce,Mahalle,Gelen Cagri Sayisi,Cevaplanan Cagri Sayisi
154,2022,B.ÇEKMECE,KUMBURGAZ MAH,69,69
155,2022,B.ÇEKMECE,MİMAROBA MAH,115,115
156,2022,B.ÇEKMECE,MİMARSİNAN MAH,85,85
157,2022,B.ÇEKMECE,MURAT ÇEŞME MAH.,323,323
158,2022,B.ÇEKMECE,PINARTEPE MAH.,145,145
159,2022,B.ÇEKMECE,SİNANOBA MAH,53,53
160,2022,B.ÇEKMECE,TÜRKOBA MAH.,108,108
161,2022,B.ÇEKMECE,ULUS MAH.,80,80
162,2022,B.ÇEKMECE,YENİMAHALLE,25,25
163,2022,B.ÇEKMECE,19 MAYIS MAH,63,63
164,2022,BEŞİKTAŞ,ABBASAĞA MAH,44,44
165,2022,BEŞİKTAŞ,AKAT MAH,16,16
166,2022,BEŞİKTAŞ,ARNAVUTKÖY MAH,34,34
167,2022,BEŞİKTAŞ,BALMUMCU MAH,13,13
168,2022,BEŞİKTAŞ,BEBEK MAH,28,28
169,2022,BEŞİKTAŞ,CİHANNÜMA MAH,22,22
170,2022,BEŞİKTAŞ,DİKİLİTAŞ MAH,92,91
171,2022,BEŞİKTAŞ,ETİLER MAH,21,21
172,2022,BEŞİKTAŞ,GAYRETTEPE MAH,23,23
173,2022,BEŞİKTAŞ,KONAKLAR MAH,21,21
174,2022,BEŞİKTAŞ,KURUÇEŞME MAH,21,21
175,2022,BEŞİKTAŞ,KÜLTÜR MAH,12,12
176,2022,BEŞİKTAŞ,LEVAZIM MAH,6,6
177,2022,BEŞİKTAŞ,LEVENT MAH,28,28
178,2022,BEŞİKTAŞ,MECİDİYE MAH,85,81
179,2022,BEŞİKTAŞ,MURADİYE MAH,26,24
180,2022,BEŞİKTAŞ,NİSBETİYE MAH,34,34
181,2022,BEŞİKTAŞ,ORTAKÖY MAH,36,36
182,2022,BEŞİKTAŞ,SİNANPAŞA MAH,40,40
183,2022,BEŞİKTAŞ,TÜRKALİ MAH,101,101
184,2022,BEŞİKTAŞ,ULUS MAH,10,10
185,2022,BEŞİKTAŞ,VİŞNEZADE MAH,50,50
186,2022,BEŞİKTAŞ,YILDIZ MAH,35,34
187,2022,BEYKOZ,ACARLAR MAH,9,9
188,2022,BEYKOZ,AKBABA MAH,19,19
189,2022,BEYKOZ,ALİBAHADIR MAH,6,6
190,2022,BEYKOZ,ANADOLU HİSARI MAH,22,22
191,2022,BEYKOZ,ANADOLU KAVAĞI MAH,5,5
192,2022,BEYKOZ,ANADOLUFENERİ MAH,8,8
193,2022,BEYKOZ,BAKLACI MAH.,19,19
194,2022,BEYKOZ,CUMHURİYET MAH,7,7
195,2022,BEYKOZ,ÇAMLIBAHÇE MAH,31,31
196,2022,BEYKOZ,ÇENGELDERE MAH.,18,18
197,2022,BEYKOZ,ÇİFTLİK MAH.,32,32
198,2022,BEYKOZ,ÇİĞDEM MAH,33,33
199,2022,BEYKOZ,ÇUBUKLU MAH,76,76
200,2022,BEYKOZ,DERESEKİ MAH,21,21
201,2022,BEYKOZ,ELMALI MAH,61,61
202,2022,BEYKOZ,FATİH MAH.,24,24
203,2022,BEYKOZ,GÖKSU MAH,19,19
204,2022,BEYKOZ,GÖRELE MAH,12,12
205,2022,BEYKOZ,GÖZTEPE MAH,37,37
206,2022,BEYKOZ,GÜMÜŞSUYU MAH,65,65
207,2022,BEYKOZ,İNCİRKÖY MAH,67,64
208,2022,BEYKOZ,İSHAKLI MAH,9,9
209,2022,BEYKOZ,KANLICA MAH,15,15
210,2022,BEYKOZ,KAVACIK MAH,89,89
211,2022,BEYKOZ,KAYNARCA MAH,6,5
212,2022,BEYKOZ,KILIÇLI MAH,15,15
213,2022,BEYKOZ,MAHMUTŞEVKETPAŞA MAH,19,19
214,2022,BEYKOZ,MERKEZ MAH,51,51
215,2022,BEYKOZ,ORTAÇEŞME MAH,53,53
216,2022,BEYKOZ,ÖĞÜMCE MAH,2,2
217,2022,BEYKOZ,ÖRNEKKÖY MAH,34,32
218,2022,BEYKOZ,PAŞABAHÇE MAH,16,16
219,2022,BEYKOZ,PAŞAMANDIRA MAH,10,10
220,2022,BEYKOZ,POLONEZKÖY MAH,5,5
221,2022,BEYKOZ,POYRAZKÖY MAH,3,3
222,2022,BEYKOZ,RİVA MAH,109,109
223,2022,BEYKOZ,RÜZGARLIBAHÇE MAH,25,25
224,2022,BEYKOZ,SOĞUKSU MAH,93,93
225,2022,BEYKOZ,TOKATKÖY MAH,100,100
226,2022,BEYKOZ,YALIKÖY MAH,44,44
227,2022,BEYKOZ,YAVUZ SELİM MAH.,24,24
228,2022,BEYKOZ,YENİ MAHALLE,77,77
229,2022,BEYKOZ,ZERZEVATÇI MAH,26,26
230,2022,BEYLİKDÜZÜ,ADNAN KAHVECİ MAH.,154,154
231,2022,BEYLİKDÜZÜ,BARIŞ MAH.,90,90
232,2022,BEYLİKDÜZÜ,BEYLİKDÜZÜ OSB,26,26
233,2022,BEYLİKDÜZÜ,BÜYÜKŞEHİR MAH.,34,34
234,2022,BEYLİKDÜZÜ,CUMHURİYET MAH.,23,23
235,2022,BEYLİKDÜZÜ,DEREAĞZI MAH.,116,116
236,2022,BEYLİKDÜZÜ,GÜRPINAR MAH.,186,186
237,2022,BEYLİKDÜZÜ,KAVAKLI MAH.,332,332
238,2022,BEYLİKDÜZÜ,MARMARA MAH.,57,57
239,2022,BEYLİKDÜZÜ,SAHİL MAH.,42,42
240,2022,BEYLİKDÜZÜ,YAKUPLU MAH.,421,421
241,2022,BEYOĞLU,ARAP CAMİ MAH,3,3
242,2022,BEYOĞLU,ASMALI MESCİT MAH,21,20
243,2022,BEYOĞLU,BEDRETTİN MAH,11,11
244,2022,BEYOĞLU,BEREKETZADE MAH,23,23
245,2022,BEYOĞLU,BOSTAN MAH,10,10
246,2022,BEYOĞLU,BÜLBÜL MAH,18,18
247,2022,BEYOĞLU,CAMİİKEBİR MAH,12,12
248,2022,BEYOĞLU,CİHANGİR MAH,31,29
249,2022,BEYOĞLU,ÇATMA MESCİT MAH,12,12
250,2022,BEYOĞLU,ÇUKUR MAH,24,23
