_id,Yil,Ilce,Mahalle,Gelen Ariza,Giderilen Ariza
134,2023,BAYRAMPAŞA,İSMET PAŞA MAH,331,331
135,2023,BAĞCILAR,100.YIL MAH,520,510
136,2023,BAĞCILAR,15 TEMMUZ MAH,809,809
137,2023,BAĞCILAR,BARBAROS MAH,161,161
138,2023,BAĞCILAR,BAĞLAR MAH,321,321
139,2023,BAĞCILAR,DEMİRKAPI MAH,686,686
140,2023,BAĞCILAR,FATİH MAH,597,597
141,2023,BAĞCILAR,FEVZİ ÇAKMAK MAH,440,440
142,2023,BAĞCILAR,GÖZTEPE MAH,329,329
143,2023,BAĞCILAR,GÜNEŞLİ MAH,778,778
144,2023,BAĞCILAR,HÜRRİYET MAH,278,278
145,2023,BAĞCILAR,KAZIM KARABEKİR MAH,240,240
146,2023,BAĞCILAR,KEMALPAŞA MAH,415,415
147,2023,BAĞCILAR,KİRAZLI MAH,831,831
148,2023,BAĞCILAR,MAHMUTBEY MAH,518,518
149,2023,BAĞCILAR,MERKEZ MAH,239,239
150,2023,BAĞCILAR,SANCAKTEPE MAH,316,315
151,2023,BAĞCILAR,YAVUZSELİM MAH,698,698
152,2023,BAĞCILAR,YENİGÜN MAH,280,280
153,2023,BAĞCILAR,YENİMAHALLE,392,392
154,2023,BAĞCILAR,YILDIZTEPE MAH,398,398
155,2023,BAĞCILAR,ÇINAR MAH,408,407
156,2023,BAĞCILAR,İNÖNU MAH,312,312
157,2023,BAŞAKŞEHİR,ALTINŞEHİR MAH,540,540
158,2023,BAŞAKŞEHİR,BAHÇEŞEHİR 1.KISIM MAH.,503,503
159,2023,BAŞAKŞEHİR,BAHÇEŞEHİR 2.KISIM MAH.,734,734
160,2023,BAŞAKŞEHİR,BAHÇEŞEHİR-STANDARTDIŞI ADRES,1,1
161,2023,BAŞAKŞEHİR,BAŞAK MAH,335,335
162,2023,BAŞAKŞEHİR,BAŞAKŞEHİR MAH,242,242
163,2023,BAŞAKŞEHİR,GÜVERCİNTEPE MAH,986,986
164,2023,BAŞAKŞEHİR,KAYABAŞI MAH,461,461
165,2023,BAŞAKŞEHİR,ZİYA GÖKALP MAH,389,389
166,2023,BAŞAKŞEHİR,İKİTELLİ OSB,745,745
167,2023,BAŞAKŞEHİR,ŞAHİNTEPE MAH,1179,1179
168,2023,BAŞAKŞEHİR,ŞAMLAR MAH,96,96
169,2023,BEYKOZ,ACARLAR MAH,31,31
170,2023,BEYKOZ,AKBABA MAH,83,83
171,2023,BEYKOZ,ALİBAHADIR MAH,31,31
172,2023,BEYKOZ,ANADOLU HİSARI MAH,103,103
173,2023,BEYKOZ,ANADOLU KAVAĞI MAH,128,128
174,2023,BEYKOZ,ANADOLUFENERİ MAH,44,44
175,2023,BEYKOZ,BAKLACI MAH.,84,84
176,2023,BEYKOZ,BOZHANE MAH,51,51
177,2023,BEYKOZ,CUMHURİYET MAH,120,120
178,2023,BEYKOZ,DERESEKİ MAH,97,97
179,2023,BEYKOZ,ELMALI MAH,80,80
180,2023,BEYKOZ,FATİH MAH.,85,85
181,2023,BEYKOZ,GÖKSU MAH,96,96
182,2023,BEYKOZ,GÖLLÜ MAH,36,36
183,2023,BEYKOZ,GÖRELE MAH,58,58
184,2023,BEYKOZ,GÖZTEPE MAH,270,270
185,2023,BEYKOZ,GÜMÜŞSUYU MAH,567,558
186,2023,BEYKOZ,KANLICA MAH,94,94
187,2023,BEYKOZ,KAVACIK MAH,302,302
188,2023,BEYKOZ,KAYNARCA MAH,51,51
189,2023,BEYKOZ,KILIÇLI MAH,48,48
190,2023,BEYKOZ,MAHMUTŞEVKETPAŞA MAH,96,96
191,2023,BEYKOZ,MERKEZ MAH,299,295
192,2023,BEYKOZ,ORTAÇEŞME MAH,399,398
193,2023,BEYKOZ,PAŞABAHÇE MAH,125,121
194,2023,BEYKOZ,PAŞAMANDIRA MAH,110,110
195,2023,BEYKOZ,POLONEZKÖY MAH,7,7
196,2023,BEYKOZ,POYRAZKÖY MAH,69,69
197,2023,BEYKOZ,RÜZGARLIBAHÇE MAH,192,192
198,2023,BEYKOZ,RİVA MAH,214,213
199,2023,BEYKOZ,SOĞUKSU MAH,221,212
200,2023,BEYKOZ,TOKATKÖY MAH,593,593
201,2023,BEYKOZ,YALIKÖY MAH,305,285
202,2023,BEYKOZ,YAVUZ SELİM MAH.,64,64
203,2023,BEYKOZ,YENİ MAHALLE,734,734
204,2023,BEYKOZ,ZERZEVATÇI MAH,52,51
205,2023,BEYKOZ,ÇAMLIBAHÇE MAH,390,389
206,2023,BEYKOZ,ÇAVUŞBAŞI-STANDARTDIŞI ADRES,8,8
207,2023,BEYKOZ,ÇENGELDERE MAH.,192,192
208,2023,BEYKOZ,ÇUBUKLU MAH,541,541
209,2023,BEYKOZ,ÇİFTLİK MAH.,162,162
210,2023,BEYKOZ,ÇİĞDEM MAH,246,246
211,2023,BEYKOZ,ÖRNEKKÖY MAH,51,51
212,2023,BEYKOZ,ÖĞÜMCE MAH,45,45
213,2023,BEYKOZ,İNCİRKÖY MAH,416,411
214,2023,BEYKOZ,İSHAKLI MAH,114,114
215,2023,BEYLİKDÜZÜ,ADNAN KAHVECİ MAH.,475,475
216,2023,BEYLİKDÜZÜ,BARIŞ MAH.,313,313
217,2023,BEYLİKDÜZÜ,BEYLİKDÜZÜ OSB,203,203
218,2023,BEYLİKDÜZÜ,BÜYÜKŞEHİR MAH.,125,125
219,2023,BEYLİKDÜZÜ,CUMHURİYET MAH.,83,83
220,2023,BEYLİKDÜZÜ,DEREAĞZI MAH.,756,756
221,2023,BEYLİKDÜZÜ,GÜRPINAR MAH.,646,646
222,2023,BEYLİKDÜZÜ,KAVAKLI MAH.,666,666
223,2023,BEYLİKDÜZÜ,MARMARA MAH.,197,197
224,2023,BEYLİKDÜZÜ,SAHİL MAH.,258,258
225,2023,BEYLİKDÜZÜ,YAKUPLU MAH.,1022,1022
226,2023,BEYOĞLU,ARAP CAMİ MAH,46,46
227,2023,BEYOĞLU,ASMALI MESCİT MAH,58,58
228,2023,BEYOĞLU,BEDRETTİN MAH,45,45
229,2023,BEYOĞLU,BEREKETZADE MAH,48,48
230,2023,BEYOĞLU,BOSTAN MAH,85,85
231,2023,BEYOĞLU,BÜLBÜL MAH,183,183
232,2023,BEYOĞLU,CAMİİKEBİR MAH,100,100
233,2023,BEYOĞLU,CİHANGİR MAH,91,91
234,2023,BEYOĞLU,EMEKYEMEZ MAH,47,47
235,2023,BEYOĞLU,EVLİYA ÇELEBİ MAH,54,54
236,2023,BEYOĞLU,FETİHTEPE MAH,180,180
237,2023,BEYOĞLU,FİRUZAĞA MAH,100,100
238,2023,BEYOĞLU,GÜMÜŞSUYU MAH,86,86
239,2023,BEYOĞLU,HACIAHMET MAH,356,356
240,2023,BEYOĞLU,HACIMİMİ MAH,86,86
241,2023,BEYOĞLU,HALICIOĞLU MAH,162,162
242,2023,BEYOĞLU,HÜSEYİNAĞA MAH,48,48
243,2023,BEYOĞLU,KADIMEHMET EFENDİ MAH,87,87
244,2023,BEYOĞLU,KALYONCU KULLUĞU MAH,80,80
245,2023,BEYOĞLU,KAMER HATUN MAH,40,40
246,2023,BEYOĞLU,KAPTANPAŞA MAH,335,335
247,2023,BEYOĞLU,KATİPMUSTAFA ÇELEBİ MAH,44,44
248,2023,BEYOĞLU,KECECİ PİRİ MAH,255,255
249,2023,BEYOĞLU,KEMANKEŞ KARAMUSTAFAPAŞA MAH,39,39
250,2023,BEYOĞLU,KILIÇALİ PAŞA MAH,45,45
251,2023,BEYOĞLU,KOCATEPE MAH,78,78
252,2023,BEYOĞLU,KULAKSIZ MAH,147,147
253,2023,BEYOĞLU,KULOĞLU MAH,39,39
254,2023,BEYOĞLU,KÜCÜK PİYALE MAH,128,128
255,2023,BEYOĞLU,MÜEYYETZADE MAH,61,61
256,2023,BEYOĞLU,PÜRTELAŞ HASAN EFENDİ MAH,53,53
257,2023,BEYOĞLU,PİRİPAŞA MAH,243,243
258,2023,BEYOĞLU,PİYALEPAŞA MAH,317,317
259,2023,BEYOĞLU,SURURİ MEHMET EFENDİ MAH,159,159
260,2023,BEYOĞLU,SÜTLÜCE MAH,186,186
261,2023,BEYOĞLU,TOMTOM MAH,103,103
262,2023,BEYOĞLU,YAHYA KAHYA MAH,81,81
263,2023,BEYOĞLU,YENİŞEHİR MAH,181,181
264,2023,BEYOĞLU,ÇATMA MESCİT MAH,49,49
265,2023,BEYOĞLU,ÇUKUR MAH,109,109
266,2023,BEYOĞLU,ÖMER AVNİ MAH,86,86
267,2023,BEYOĞLU,ÖRNEKTEPE MAH,248,248
268,2023,BEYOĞLU,İSTİKLAL MAH,298,298
269,2023,BEYOĞLU,ŞAHKULU MAH,75,75
270,2023,BEYOĞLU,ŞEHİT MUHTAR MAH,104,104
